,name,frame,left_count,right_count,950
0,PD06-01,1430,0,1,
1,PD06-01,1456,1,0,
2,PD06-01,2376,0,1,
3,PD06-01,2432,1,1,
4,PD06-01,6475,1,0,
5,PD06-01,6512,1,1,
6,PD06-01,6982,0,1,
7,PD06-01,7020,0,1,
8,PD06-01,8568,1,0,
9,PD06-01,8624,0,1,
10,PD06-01,9210,1,1,
11,PD06-01,9270,0,1,
12,PD06-01,9325,1,0,
13,PD06-01,9872,1,1,
14,PD06-01,9907,1,0,
15,PD06-01,10177,1,1
16,PD06-01,10713,0,1
17,PD06-01,10754,1,1
18,PD06-01,11874,1,1
19,PD06-01,12329,1,1
20,PD06-01,12520,1,1
21,PD06-01,12756,1,1
22,PD06-01,12887,1,1
23,PD06-01,13118,0,1
24,PD06-01,14927,0,1
25,PD06-01,15403,1,1
26,PD06-01,16858,1,1
27,PD06-01,17288,0,1
28,PD06-01,17320,1,1
29,PD06-01,17816,1,1
30,PD06-01,18978,1,1
31,PD06-01,19581,1,1
32,PD06-01,20261,1,1
33,PD06-01,20366,1,0
34,PD06-01,22178,1,1
35,PD06-01,23003,1,1
36,PD06-01,24295,1,1
37,PD06-01,28049,1,1
38,PD06-01,28081,0,1
39,PD06-01,29565,0,1
40,PD06-01,31818,0,1
41,PD06-01,31850,1,0
42,PD06-01,32291,1,1
43,PD06-01,33263,1,1
44,PD06-01,34069,0,1
45,PD06-01,34105,1,0
