,name,frame,left_count,right_count,1046
0,PD06-05,838,0,1,
1,PD06-05,1044,0,1,
2,PD06-05,1751,0,1,
3,PD06-05,1777,1,0,
4,PD06-05,1806,0,1,
5,PD06-05,4466,0,1,
6,PD06-05,4539,0,1,
7,PD06-05,4538,1,0,
8,PD06-05,5197,0,1,
9,PD06-05,5194,1,0,
10,PD06-05,6168,1,0,
11,PD06-05,9471,1,0,
12,PD06-05,14379,0,1,
13,PD06-05,14425,1,0,
14,PD06-05,14473,0,1,
15,PD06-05,14535,1,0
16,PD06-05,16946,1,1
17,PD06-05,17039,1,0
18,PD06-05,18091,0,1
19,PD06-05,18126,1,0
20,PD06-05,25557,1,1
21,PD06-05,26844,1,1
22,PD06-05,30318,1,0
23,PD06-05,33425,1,1
