,name,frame,left_count,right_count,991
0,PD5-03,280,0,1,
1,PD5-03,2080,0,1,
2,PD5-03,2120,1,0,
3,PD5-03,14111,0,1,
4,PD5-03,14148,1,1,
5,PD5-03,14191,1,0,
6,PD5-03,14210,0,1,
7,PD5-03,14235,1,0,
8,PD5-03,14845,1,1,
9,PD5-03,21272,1,1,
10,PD5-03,23664,1,1,
11,PD5-03,25433,0,1,
12,PD5-03,25460,1,0,
13,PD5-03,27334,0,1,
14,PD5-03,32005,1,1,
15,PD5-03,33084,0,1
16,PD5-03,33682,0,1
17,PD5-03,35087,1,1
18,PD5-03,35864,0,1
