name,0 - 1,1 - 2,2 - 3,3 - 4,4 - 5,5 - 6,6 - 7,7 - 8,8 - 9,9 - 10,adjusted mean
PD5-22,-2,-3,-4,-3,-5,-3,0,-3,-4,-4,-3.333333333
PD5-02,0,-4,-1,5,-3,0,1,-3,-1,-1,-1
PD5-17,-36,-26,-21,-20,-18,-20,-17,-18,-14,-18,-19.16666667
PD5-06,-30,-23,-26,-26,-23,-21,-21,-20,-24,-22,-23.16666667
PD5-23,-2,0,2,-1,2,-3,1,-1,-1,0,-0.3333333333
PD5-03,1,0,1,1,-1,2,0,1,0,1,0.6666666667
PD5-18,-28,-16,-17,-12,-10,-11,-12,-11,-10,-12,-12.33333333
PD5-08,-27,-28,-26,-26,-21,-21,-25,-22,-23,-20,-23.83333333
PD5-11,-2,3,3,1,1,1,0,1,1,0,0.8333333333
PD5-19,-32,-19,-20,-16,-12,-15,-16,-14,-17,-19,-17
PD5-09,-14,-16,-7,-8,-7,-2,-9,-10,-7,-2,-8
PD5-13,3,4,2,2,2,2,1,2,2,2,2
PD5-20,-39,-30,-27,-23,-19,-18,-27,-23,-21,-19,-23.33333333
PD5-10,-36,-23,-23,-20,-15,-19,-26,-20,-20,-24,-21.66666667
PD5-16,-1,-5,-6,-4,-5,-4,-4,-5,-4,-5,-4.5
PD5-01,1,2,2,-3,-4,-2,-1,1,2,1,0.3333333333
PD5-15,-28,-18,-17,-17,-18,-17,-18,-20,-27,-25,-19.33333333
PD5-14,-3,6,-1,3,4,5,4,3,3,3,3.333333333
PD5-24,-24,-22,-19,-17,-19,-17,-19,-19,-15,-16,-18.33333333
PD5-12,-26,-27,-18,-18,-19,-12,-19,-23,-20,-21,-20
PD5-04,-45,-31,-25,-19,-19,-19,-32,-21,-23,-19,-23
PD06-01,0,2,0,-1,2,-1,0,2,2,2,1
PD06-02,-9,-8,-6,-6,-7,-4,-8,-8,-7,-6,-7
PD06-03,-4,-5,-4,-3,-3,-3,-2,-3,-2,-1,-3
PD06-05,-8,-4,-2,-1,-1,0,-1,-3,-1,0,-1.5
PD06-06,-23,-16,-13,-11,-10,-11,-5,-6,-7,-7,-9.833333333
PD06-07,-1,0,-1,0,0,0,-1,-1,0,-1,-0.5
PD06-08,-10,-9,-6,-5,-6,-7,-6,-5,-5,-6,-6
