name,0 - 1,1 - 2,2 - 3,3 - 4,4 - 5,5 - 6,6 - 7,7 - 8,8 - 9,9 - 10,adjusted mean
PD06-01,-1,-1,0,-1,-2,1,0,-1,-1,0,-0.5714285714285714
PD06-02,0,0,0,-1,1,2,0,0,0,0,0.0
PD06-03,1,1,2,0,4,1,0,2,1,0,0.8571428571428571
PD06-04,0,0,0,0,0,0,2,0,1,0,0.0
PD06-05,-3,0,1,-1,2,0,0,0,1,0,0.14285714285714285
PD06-06,0,0,7,0,0,0,0,7,4,5,1.2857142857142858
PD06-07,-7,-2,3,0,3,0,0,0,1,0,0.14285714285714285
PD06-08,0,0,0,0,1,2,0,0,1,0,0.14285714285714285
PD5-01,0,0,1,0,2,1,-1,0,-1,-1,0.0
PD5-02,0,0,0,0,3,1,1,0,1,0,0.2857142857142857
PD5-03,-1,0,0,0,0,0,0,-1,0,-3,-0.14285714285714285
PD5-04,1,1,1,0,1,0,1,0,4,6,0.7142857142857143
PD5-06,-5,0,0,1,1,0,0,0,1,0,0.14285714285714285
PD5-08,0,0,0,0,0,0,0,0,0,0,0.0
PD5-09,0,0,0,0,0,0,0,0,0,0,0.0
PD5-10,0,0,0,0,0,0,0,0,0,0,0.0
PD5-11,0,-1,2,0,-1,1,-1,1,0,-1,-0.14285714285714285
PD5-12,-1,0,0,0,0,0,0,0,0,1,0.0
PD5-13,3,0,0,0,0,0,0,0,1,-1,0.0
PD5-14,0,0,0,0,0,0,-1,0,-1,0,0.0
PD5-15,0,0,0,0,0,0,0,0,0,2,0.0
PD5-16,2,0,-1,0,0,0,3,3,1,5,0.8571428571428571
PD5-17,1,0,0,0,1,0,2,0,1,1,0.42857142857142855
PD5-18,0,0,0,0,0,1,0,0,0,0,0.0
PD5-19,0,0,0,0,1,4,1,0,0,0,0.14285714285714285
PD5-20,0,0,0,0,0,0,-1,-1,0,1,0.0
PD5-22,0,0,0,0,0,0,0,0,1,1,0.0
PD5-23,0,2,0,0,2,1,0,0,0,0,0.14285714285714285
PD5-24,0,0,0,0,0,-1,-1,-4,0,-1,-0.2857142857142857
